City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,82.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Monrovia,LR,80.15,broken clouds,6.3005,-10.7969,Sunset Inn
10,Bella Vista,US,84.72,overcast clouds,36.4295,-94.2316,The Inn at Bella Vista
16,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
26,Grants,US,75.43,scattered clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
27,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
29,Kerema,PG,80.31,overcast clouds,-7.9631,145.7785,Frena Lodge
33,Kavieng,PG,84.06,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
40,Cairns,AU,78.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
44,Butaritari,KI,81.64,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
45,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
46,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,Lorengau,PG,78.48,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
51,Elizabeth City,US,82.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
52,Touros,BR,77.72,few clouds,-5.1989,-35.4608,INN NEW HORIZON
55,Sao Filipe,CV,75.49,clear sky,14.8961,-24.4956,Hotel Xaguate
58,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Jalu,LY,80.96,clear sky,29.0331,21.5482,صاحبة الفخامة
61,Tutoia,BR,78.19,few clouds,-2.7619,-42.2744,Pousada Guará's
62,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
67,Portage,US,84.61,few clouds,41.1667,-81.1998,Rocking Horse Inn
72,Sabang,ID,83.32,overcast clouds,5.8933,95.3214,Hotel Citra
73,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
77,Dwarka,IN,80.35,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
78,Atuona,PF,77.97,broken clouds,-9.8,-139.0333,Villa Enata
82,Gushikawa,JP,80.6,scattered clouds,26.3544,127.8686,Kirari Guest House
86,Jacksonville Beach,US,83.05,scattered clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
87,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
88,Bethel,US,85.05,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
99,Hithadhoo,MV,83.17,broken clouds,-0.6,73.0833,Scoop Guest House
100,Itarema,BR,77.32,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
107,San Ramon,US,80.82,clear sky,37.7799,-121.978,San Ramon Marriott
112,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
116,Palmas,BR,78.67,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
117,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
119,Umm Lajj,SA,83.1,clear sky,25.0213,37.2685,Moon light Furnished Units
120,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
125,Tuban,ID,77.79,clear sky,-6.8976,112.0649,Hotel Mustika
128,Lompoc,US,78.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
137,Nata,PA,79.16,overcast clouds,8.3333,-80.5167,Rey David
138,Sao Miguel Do Araguaia,BR,75.54,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
142,Isangel,VU,81.66,few clouds,-19.55,169.2667,Tanna Lodge
147,Saposoa,PE,77.81,few clouds,-6.934,-76.7716,Hostal Primavera
158,Harindanga,IN,83.34,scattered clouds,22.0383,88.3214,Hasanur Builders
159,Porto Velho,BR,77.05,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
165,Shush,IR,88.11,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
169,Victoria,HK,85.17,light rain,22.2855,114.1577,Mini Central
172,Saint Anthony,US,87.69,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
173,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
176,Mandiana,GN,77.92,broken clouds,10.6333,-8.6833,Motels rouzo
178,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
182,Fare,PF,80.04,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
184,Acarau,BR,78.17,scattered clouds,-2.8856,-40.12,castelo pizzaria
185,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
186,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
188,Lake Park,US,80.06,broken clouds,26.8003,-80.0664,Palm Beach Marriott Singer Island Beach Resort & Spa
189,Kilindoni,TZ,78.24,light rain,-7.9139,39.6668,Bustani B&B
190,Marsh Harbour,BS,77.92,light rain,26.5412,-77.0636,Abaco Beach Resort
198,Faanui,PF,79.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
205,Hamilton,US,87.01,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
206,Beni Mazar,EG,83.98,clear sky,28.4962,30.8029,Link Co-Working space & Development center
209,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
218,Lajas,PR,84.18,broken clouds,18.05,-67.0593,Hostal Universitario interamericana Río Piedras
221,Safaga,EG,86.9,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
224,Crotone,IT,77.2,broken clouds,39.0851,17.1178,Helios Hotel
225,Ishurdi,BD,80.56,broken clouds,24.1333,89.0833,Rafiur Rahman
228,Celestun,MX,85.15,overcast clouds,20.8667,-90.4,Posada Lilia
232,Halifax,CA,75.09,broken clouds,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
235,Aswan,EG,88.25,clear sky,24.0934,32.907,Nuba Nile
237,Goderich,CA,79.12,overcast clouds,43.7501,-81.7165,Harmony Inn
240,Hami,CN,76.19,clear sky,42.8,93.45,Laoyutang Resort
241,Akyab,MM,80.44,broken clouds,20.15,92.9,Hotel Memory
242,Mount Pleasant,US,82.31,few clouds,32.7941,-79.8626,Best Western Patriots Point
244,Totness,SR,78.64,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
245,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
250,Jeremie,HT,81.37,broken clouds,18.65,-74.1167,Auberge’Inn
251,Mayo,US,89.73,clear sky,38.8876,-76.5119,Resorts Resource Group International
261,Portobelo,PA,80.96,overcast clouds,9.55,-79.65,Scuba Portobelo
264,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
266,Kavaratti,IN,82.29,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
269,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
270,Ciudad Bolivar,VE,85.8,overcast clouds,8.1222,-63.5497,Hotel Edi
272,Cabo San Lucas,MX,85.6,clear sky,22.8909,-109.9124,Vista Roof Restaurant
274,Chino Valley,US,81.73,clear sky,34.7575,-112.4538,Primrose Inn & Suites
276,Port Blair,IN,81.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
283,Eyl,SO,79.5,few clouds,7.9803,49.8164,Amiin Hotel
299,Chilpancingo,MX,77.13,overcast clouds,17.55,-99.5,Relámpago Cartuchos Deportivos de Guerrero S.A. de C.V.
301,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
303,Samarai,PG,80.94,scattered clouds,-10.6167,150.6667,Nuli Sapi
307,Doba,TD,78.67,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
