City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Jamestown,US,42.097,-79.2353,82.04,50,0,9.22,2022-05-30 23:11:28,clear sky
1,Luderitz,NA,-26.6481,15.1594,57.52,52,1,14.14,2022-05-30 23:16:15,clear sky
2,Avarua,CK,-21.2078,-159.775,73.45,94,75,3.44,2022-05-30 23:16:01,light rain
3,Monrovia,LR,6.3005,-10.7969,80.15,83,69,9.26,2022-05-30 23:12:13,broken clouds
4,Launceston,AU,-41.45,147.1667,43.81,97,100,4.61,2022-05-30 23:16:15,moderate rain
5,Fortuna,US,40.5982,-124.1573,60.1,67,75,17.27,2022-05-30 23:16:16,broken clouds
6,Baykit,RU,61.67,96.37,52.29,91,100,4.29,2022-05-30 23:08:02,light rain
7,Hermanus,ZA,-34.4187,19.2345,57.79,77,66,10.07,2022-05-30 23:16:16,broken clouds
8,Norman Wells,CA,65.282,-126.8329,69.84,28,40,19.57,2022-05-30 23:16:16,scattered clouds
9,Ushuaia,AR,-54.8,-68.3,42.46,81,75,28.77,2022-05-30 23:14:17,drizzle
10,Bella Vista,US,36.4295,-94.2316,84.72,61,100,13.8,2022-05-30 23:16:17,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,74.46,77,49,7.94,2022-05-30 23:16:17,light rain
12,Puerto Ayora,EC,-0.7393,-90.3518,72.95,83,84,11.05,2022-05-30 23:16:17,broken clouds
13,Grand Gaube,MU,-20.0064,57.6608,72.0,74,85,5.01,2022-05-30 23:16:18,overcast clouds
14,Mount Isa,AU,-20.7333,139.5,62.37,25,63,11.5,2022-05-30 23:16:18,broken clouds
15,Pietermaritzburg,ZA,-29.6168,30.3928,47.68,88,33,3.11,2022-05-30 23:16:18,scattered clouds
16,Hilo,US,19.7297,-155.09,88.29,69,0,11.5,2022-05-30 23:16:19,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,13.8,2022-05-30 23:13:49,clear sky
18,Bluff,NZ,-46.6,168.3333,62.8,70,97,16.22,2022-05-30 23:16:19,overcast clouds
19,Lebu,CL,-37.6167,-73.65,44.64,76,0,13.02,2022-05-30 23:16:20,clear sky
20,Busselton,AU,-33.65,115.3333,51.4,86,1,7.76,2022-05-30 23:16:20,clear sky
21,Albany,US,42.6001,-73.9662,84.63,57,70,5.35,2022-05-30 23:13:10,broken clouds
22,Ribeira Grande,PT,38.5167,-28.7,57.6,72,20,3.44,2022-05-30 23:16:20,few clouds
23,Bredasdorp,ZA,-34.5322,20.0403,54.14,77,47,8.95,2022-05-30 23:16:21,scattered clouds
24,Vestmannaeyjar,IS,63.4427,-20.2734,49.98,90,82,6.46,2022-05-30 23:16:21,broken clouds
25,Atasu,KZ,48.6814,71.6433,60.55,71,96,8.21,2022-05-30 23:16:21,overcast clouds
26,Grants,US,35.1473,-107.8514,75.43,12,40,18.41,2022-05-30 23:16:22,scattered clouds
27,Porto Novo,BJ,6.4965,2.6036,84.02,83,77,8.81,2022-05-30 23:16:22,broken clouds
28,Pisco,PE,-13.7,-76.2167,64.45,77,0,17.27,2022-05-30 23:16:22,clear sky
29,Kerema,PG,-7.9631,145.7785,80.31,77,89,2.48,2022-05-30 23:16:22,overcast clouds
30,Thompson,CA,55.7435,-97.8558,44.78,94,100,7.58,2022-05-30 23:12:09,overcast clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,44.94,63,40,5.75,2022-05-30 23:16:23,scattered clouds
32,Nikolskoye,RU,59.7035,30.7861,57.79,72,100,5.53,2022-05-30 23:16:23,overcast clouds
33,Kavieng,PG,-2.5744,150.7967,84.06,69,98,12.93,2022-05-30 23:16:23,overcast clouds
34,Nanortalik,GL,60.1432,-45.2371,37.94,90,97,4.72,2022-05-30 23:16:24,overcast clouds
35,Carnarvon,AU,-24.8667,113.6333,61.86,58,99,22.17,2022-05-30 23:16:24,light rain
36,Shingu,JP,33.7333,135.9833,65.91,94,100,5.32,2022-05-30 23:16:25,overcast clouds
37,Verkh-Usugli,RU,52.7,115.1667,47.75,61,49,2.62,2022-05-30 23:16:25,scattered clouds
38,Port Elizabeth,ZA,-33.918,25.5701,59.29,55,0,18.41,2022-05-30 23:16:25,clear sky
39,Yulara,AU,-25.2406,130.9889,50.86,50,100,5.64,2022-05-30 23:16:25,overcast clouds
40,Cairns,AU,-16.9167,145.7667,78.06,80,43,1.14,2022-05-30 23:16:26,scattered clouds
41,Lagoa,PT,39.05,-27.9833,59.13,75,42,20.89,2022-05-30 23:16:26,light rain
42,Shenjiamen,CN,29.9576,122.298,66.45,86,100,2.44,2022-05-30 23:16:26,overcast clouds
43,Tuatapere,NZ,-46.1333,167.6833,59.36,73,90,7.72,2022-05-30 23:16:27,overcast clouds
44,Butaritari,KI,3.0707,172.7902,81.64,72,37,14.03,2022-05-30 23:16:27,scattered clouds
45,Cayenne,GF,4.9333,-52.3333,76.08,1,100,1.14,2022-05-30 23:16:27,overcast clouds
46,Vaini,TO,-21.2,-175.2,82.56,78,40,8.05,2022-05-30 23:17:28,scattered clouds
47,Ponta Do Sol,PT,32.6667,-17.1,66.0,91,84,6.06,2022-05-30 23:17:28,light rain
48,Saskylakh,RU,71.9167,114.0833,23.49,98,99,2.55,2022-05-30 23:17:28,overcast clouds
49,Lorengau,PG,-2.0226,147.2712,78.48,88,100,9.82,2022-05-30 23:17:29,overcast clouds
50,Port Alfred,ZA,-33.5906,26.891,55.18,72,100,4.0,2022-05-30 23:17:29,overcast clouds
51,Elizabeth City,US,36.2946,-76.2511,82.42,62,0,11.5,2022-05-30 23:13:20,clear sky
52,Touros,BR,-5.1989,-35.4608,77.72,88,16,8.68,2022-05-30 23:16:25,few clouds
53,Provideniya,RU,64.3833,-173.3,41.11,75,0,4.47,2022-05-30 23:17:29,clear sky
54,Kambove,CD,-10.8764,26.5969,54.3,72,0,4.27,2022-05-30 23:17:30,clear sky
55,Sao Filipe,CV,14.8961,-24.4956,75.49,80,4,6.08,2022-05-30 23:07:54,clear sky
56,Smithers,CA,54.7804,-127.1743,66.52,32,75,3.44,2022-05-30 23:17:30,broken clouds
57,Yekaterinovka,RU,52.0508,44.3451,52.74,79,71,7.14,2022-05-30 23:17:30,broken clouds
58,Kapaa,US,22.0752,-159.319,84.18,74,20,11.5,2022-05-30 23:17:31,few clouds
59,Ponta Delgada,PT,37.7333,-25.6667,56.5,76,40,17.27,2022-05-30 23:17:31,light intensity drizzle rain
60,Jalu,LY,29.0331,21.5482,80.96,25,2,11.12,2022-05-30 23:17:31,clear sky
61,Tutoia,BR,-2.7619,-42.2744,78.19,84,18,6.29,2022-05-30 23:17:32,few clouds
62,Acapulco,MX,16.8634,-99.8901,84.02,70,100,12.66,2022-05-30 23:15:20,overcast clouds
63,Chernyshevskiy,RU,63.0128,112.4714,51.51,44,53,6.35,2022-05-30 23:17:32,broken clouds
64,Longyearbyen,SJ,78.2186,15.6401,39.04,93,75,12.66,2022-05-30 23:17:32,broken clouds
65,Channel-Port Aux Basques,CA,47.5702,-59.1367,46.65,93,56,11.7,2022-05-30 23:17:33,broken clouds
66,Rajnagar,IN,24.8833,79.9167,90.86,28,35,5.5,2022-05-30 23:17:33,scattered clouds
67,Portage,US,41.1667,-81.1998,84.61,48,24,6.17,2022-05-30 23:17:33,few clouds
68,Cidreira,BR,-30.1811,-50.2056,51.94,63,25,13.62,2022-05-30 23:17:34,scattered clouds
69,Narsaq,GL,60.9167,-46.05,48.42,77,82,5.59,2022-05-30 23:17:34,broken clouds
70,Balaipungut,ID,1.05,101.2833,74.25,94,96,2.71,2022-05-30 23:17:34,overcast clouds
71,New Norfolk,AU,-42.7826,147.0587,41.67,89,100,1.68,2022-05-30 23:17:35,moderate rain
72,Sabang,ID,5.8933,95.3214,83.32,75,100,20.18,2022-05-30 23:17:35,overcast clouds
73,Pitimbu,BR,-7.4706,-34.8086,77.59,88,92,8.86,2022-05-30 23:17:35,overcast clouds
74,Montceau-Les-Mines,FR,46.6667,4.3667,49.37,68,93,2.51,2022-05-30 23:17:36,overcast clouds
75,San Patricio,US,28.017,-97.5169,90.32,61,9,20.87,2022-05-30 23:07:59,clear sky
76,Maniitsoq,GL,65.4167,-52.9,39.92,73,89,10.0,2022-05-30 23:17:36,overcast clouds
77,Dwarka,IN,22.2394,68.9678,80.35,84,7,16.6,2022-05-30 23:17:36,clear sky
78,Atuona,PF,-9.8,-139.0333,77.97,76,62,12.01,2022-05-30 23:17:37,broken clouds
79,Mataura,NZ,-46.1927,168.8643,62.47,78,100,3.83,2022-05-30 23:17:37,overcast clouds
80,Ancud,CL,-41.8697,-73.8203,43.38,79,74,4.29,2022-05-30 23:17:37,broken clouds
81,Bredy,RU,52.4153,60.3411,51.12,86,64,8.68,2022-05-30 23:17:38,broken clouds
82,Gushikawa,JP,26.3544,127.8686,80.6,94,40,11.5,2022-05-30 23:17:38,scattered clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,88,0,2.3,2022-05-30 23:17:38,clear sky
84,East London,ZA,-33.0153,27.9116,58.28,46,100,6.96,2022-05-30 23:17:39,overcast clouds
85,Chuy,UY,-33.6971,-53.4616,43.83,76,19,10.63,2022-05-30 23:17:39,few clouds
86,Jacksonville Beach,US,30.2947,-81.3931,83.05,77,40,11.5,2022-05-30 23:15:36,scattered clouds
87,Georgetown,MY,5.4112,100.3354,76.95,94,20,3.44,2022-05-30 23:17:40,few clouds
88,Bethel,US,41.3712,-73.414,85.05,63,0,9.22,2022-05-30 23:17:40,clear sky
89,Deputatskiy,RU,69.3,139.9,34.99,92,100,2.71,2022-05-30 23:17:40,overcast clouds
90,Carauari,BR,-4.8828,-66.8958,74.21,97,87,0.4,2022-05-30 23:18:41,overcast clouds
91,Ostrovnoy,RU,68.0531,39.5131,35.44,88,26,5.97,2022-05-30 23:18:41,scattered clouds
92,Bulgan,MN,48.8125,103.5347,47.25,80,9,3.69,2022-05-30 23:18:41,clear sky
93,Verkhoyansk,RU,67.5447,133.385,44.8,73,100,2.44,2022-05-30 23:18:42,overcast clouds
94,Seoul,KR,37.5683,126.9778,67.57,56,0,3.44,2022-05-30 23:18:18,clear sky
95,Hasaki,JP,35.7333,140.8333,66.6,84,100,14.56,2022-05-30 23:18:42,light rain
96,Kharp,RU,66.8014,65.8081,40.89,59,38,1.9,2022-05-30 23:18:42,scattered clouds
97,Dudinka,RU,69.4058,86.1778,33.1,82,88,18.41,2022-05-30 23:18:43,overcast clouds
98,Tiksi,RU,71.6872,128.8694,29.66,92,100,14.56,2022-05-30 23:18:43,light snow
99,Hithadhoo,MV,-0.6,73.0833,83.17,70,52,12.41,2022-05-30 23:18:44,broken clouds
