City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-28 04:21:10,-54.8,-68.3,35.26,80,100,25.32
1,Hit,IQ,2022-05-28 04:25:40,33.6416,42.8251,83.35,15,0,9.28
2,Hamilton,US,2022-05-28 04:20:59,39.1834,-84.5333,62.24,96,75,3.44
3,Mahebourg,MU,2022-05-28 04:25:40,-20.4081,57.7,75.49,78,40,6.91
4,Qaanaaq,GL,2022-05-28 04:25:41,77.484,-69.3632,17.8,95,99,2.8
5,Hobyo,SO,2022-05-28 04:25:41,5.3505,48.5268,79.43,81,74,17.07
6,Kapaa,US,2022-05-28 04:25:41,22.0752,-159.319,80.58,75,20,10.36
7,Port Alfred,ZA,2022-05-28 04:25:42,-33.5906,26.891,61.0,69,50,7.72
8,Calais,FR,2022-05-28 04:25:42,50.9167,1.8333,54.09,81,56,13.15
9,Hami,CN,2022-05-28 04:25:42,42.8,93.45,85.68,23,81,6.6
10,Tuktoyaktuk,CA,2022-05-28 04:25:42,69.4541,-133.0374,28.4,86,100,20.71
11,Severo-Kurilsk,RU,2022-05-28 04:25:43,50.6789,156.125,45.66,87,100,2.01
12,Butaritari,KI,2022-05-28 04:25:43,3.0707,172.7902,81.14,77,97,8.57
13,Chuy,UY,2022-05-28 04:25:43,-33.6971,-53.4616,50.79,86,43,5.77
14,Busselton,AU,2022-05-28 04:25:44,-33.65,115.3333,65.77,62,8,15.41
15,Vaini,TO,2022-05-28 04:25:44,-21.2,-175.2,80.76,83,75,4.61
16,Tver,RU,2022-05-28 04:25:30,56.8619,35.8931,46.9,83,7,3.4
17,Faya,SA,2022-05-28 04:25:44,18.3851,42.4509,68.11,32,4,2.51
18,Albany,US,2022-05-28 04:24:34,42.6001,-73.9662,67.64,84,100,4.97
19,Acapulco,MX,2022-05-28 04:25:45,16.8634,-99.8901,80.42,89,75,6.91
20,Mount Isa,AU,2022-05-28 04:25:45,-20.7333,139.5,78.57,25,0,10.36
21,Guerrero Negro,MX,2022-05-28 04:25:45,27.9769,-114.0611,61.29,83,0,16.4
22,Hobart,AU,2022-05-28 04:25:46,-42.8794,147.3294,58.86,64,20,6.91
23,Azusa,US,2022-05-28 04:25:46,34.1336,-117.9076,66.02,72,0,12.66
24,Chokurdakh,RU,2022-05-28 04:24:15,70.6333,147.9167,36.64,65,100,9.98
25,Bathsheba,BB,2022-05-28 04:25:46,13.2167,-59.5167,81.21,74,40,17.27
26,Cape Town,ZA,2022-05-28 04:25:09,-33.9258,18.4232,57.27,92,75,12.66
27,Tessalit,ML,2022-05-28 04:25:47,20.1986,1.0114,87.93,14,63,5.01
28,Rongcheng,CN,2022-05-28 04:25:47,30.634,117.8517,69.82,90,100,2.93
29,Atuona,PF,2022-05-28 04:25:47,-9.8,-139.0333,78.37,73,9,18.19
30,Hachinohe,JP,2022-05-28 04:25:47,40.5,141.5,67.21,47,49,16.28
31,Iqaluit,CA,2022-05-28 04:25:48,63.7506,-68.5145,24.53,80,75,3.44
32,Shakiso,ET,2022-05-28 04:25:48,5.75,38.9167,58.71,97,38,0.81
33,Tura,IN,2022-05-28 04:25:48,25.5198,90.2201,85.96,56,9,1.74
34,Maniitsoq,GL,2022-05-28 04:25:49,65.4167,-52.9,28.27,76,40,10.71
35,Carnarvon,AU,2022-05-28 04:25:49,-24.8667,113.6333,68.92,74,100,10.4
36,Bengkulu,ID,2022-05-28 04:25:49,-3.8004,102.2655,78.4,92,98,14.97
37,Hithadhoo,MV,2022-05-28 04:25:50,-0.6,73.0833,83.77,71,73,9.62
38,Victoria,HK,2022-05-28 04:21:40,22.2855,114.1577,90.18,76,67,10.0
39,Norman Wells,CA,2022-05-28 04:25:50,65.282,-126.8329,41.04,87,100,20.71
40,Mlonggo,ID,2022-05-28 04:25:50,-6.5333,110.7,84.31,73,75,5.59
41,Narsaq,GL,2022-05-28 04:25:51,60.9167,-46.05,44.08,51,100,9.48
42,Rikitea,PF,2022-05-28 04:25:51,-23.1203,-134.9692,76.96,73,14,12.24
43,Armidale,AU,2022-05-28 04:25:51,-30.5167,151.65,56.66,74,84,8.21
44,Bluff,NZ,2022-05-28 04:25:52,-46.6,168.3333,55.8,77,96,6.76
45,Punta Arenas,CL,2022-05-28 04:22:30,-53.15,-70.9167,37.51,65,0,17.27
46,Sterling,US,2022-05-28 04:26:19,39.0062,-77.4286,65.19,93,75,3.44
47,Airai,TL,2022-05-28 04:26:52,-8.9266,125.4092,75.85,45,22,3.09
48,Tuatapere,NZ,2022-05-28 04:26:52,-46.1333,167.6833,54.14,77,100,3.98
49,Kandhla,IN,2022-05-28 04:26:53,29.3167,77.2667,97.79,29,15,7.2
50,Erzin,TR,2022-05-28 04:26:53,36.9559,36.2,77.74,44,3,1.12
51,Avarua,CK,2022-05-28 04:26:53,-21.2078,-159.775,77.05,83,75,8.05
52,Saint-Pierre,RE,2022-05-28 04:26:53,-21.3393,55.4781,74.91,78,100,5.75
53,Itoman,JP,2022-05-28 04:26:54,26.1247,127.6694,75.22,96,75,19.57
54,Auki,SB,2022-05-28 04:26:54,-8.7676,160.7034,80.1,82,90,1.88
55,Arraial Do Cabo,BR,2022-05-28 04:26:54,-22.9661,-42.0278,71.33,84,100,22.68
56,Beira,MZ,2022-05-28 04:26:54,-19.8436,34.8389,68.09,94,40,5.75
57,Jalu,LY,2022-05-28 04:26:55,29.0331,21.5482,80.55,16,0,9.51
58,Saint-Philippe,RE,2022-05-28 04:26:55,-21.3585,55.7679,71.19,81,56,10.8
59,Alofi,NU,2022-05-28 04:26:55,-19.0595,-169.9187,80.49,83,100,9.22
60,Myrtle Beach,US,2022-05-28 04:26:56,33.6891,-78.8867,75.25,91,75,10.36
61,Bowen,AU,2022-05-28 04:26:56,-20.0167,148.2333,75.24,57,0,9.44
62,Smoky Lake,CA,2022-05-28 04:22:47,54.1169,-112.4686,60.96,62,95,8.05
63,Cherskiy,RU,2022-05-28 04:26:56,68.75,161.3,41.59,46,3,12.95
64,Mbuji-Mayi,CD,2022-05-28 04:26:56,-6.15,23.6,68.86,63,13,1.48
65,Rocha,UY,2022-05-28 04:26:57,-34.4833,-54.3333,45.81,89,14,4.45
66,Fortuna,US,2022-05-28 04:26:57,40.5982,-124.1573,55.92,92,100,4.0
67,Pisco,PE,2022-05-28 04:26:57,-13.7,-76.2167,59.02,88,20,5.75
68,Rosetta,EG,2022-05-28 04:26:58,31.4044,30.4164,72.23,78,0,5.01
69,Jamestown,US,2022-05-28 04:26:58,42.097,-79.2353,61.02,94,100,3.44
70,Lazaro Cardenas,MX,2022-05-28 04:26:58,17.9583,-102.2,79.07,85,65,6.73
71,Sampit,ID,2022-05-28 04:26:58,-2.5333,112.95,91.94,48,21,0.51
72,Sulat,PH,2022-05-28 04:26:59,11.8103,125.4544,87.64,61,79,11.03
73,Mehamn,NO,2022-05-28 04:26:59,71.0357,27.8492,40.91,97,100,25.5
74,Hermanus,ZA,2022-05-28 04:26:59,-34.4187,19.2345,59.0,72,24,5.91
75,Orlik,RU,2022-05-28 04:27:00,52.5178,99.825,46.4,39,90,8.55
76,Roma,US,2022-05-28 04:27:00,43.2128,-75.4557,63.73,97,75,0.0
77,Bethel,US,2022-05-28 04:27:00,41.3712,-73.414,66.29,91,100,4.61
78,Hilo,US,2022-05-28 04:23:39,19.7297,-155.09,76.28,87,100,8.05
79,Lumeje,AO,2022-05-28 04:27:01,-11.55,20.7833,53.26,56,0,5.37
80,Sedhiou,SN,2022-05-28 04:27:01,12.7081,-15.5569,76.12,76,100,0.94
81,Mataura,NZ,2022-05-28 04:27:01,-46.1927,168.8643,55.47,74,21,4.14
82,Bredasdorp,ZA,2022-05-28 04:27:01,-34.5322,20.0403,53.29,88,65,4.45
83,Lebu,CL,2022-05-28 04:27:02,-37.6167,-73.65,42.93,81,8,13.73
84,Jaguarao,BR,2022-05-28 04:27:02,-32.5661,-53.3758,55.89,94,100,5.91
85,New Norfolk,AU,2022-05-28 04:27:02,-42.7826,147.0587,58.5,78,80,1.99
86,Khatanga,RU,2022-05-28 04:24:15,71.9667,102.5,37.81,62,100,4.05
87,Longyearbyen,SJ,2022-05-28 04:27:03,78.2186,15.6401,46.24,76,0,2.3
88,Tepeojuma,MX,2022-05-28 04:27:03,18.7167,-98.45,72.84,42,97,8.93
89,Qostanay,KZ,2022-05-28 04:27:03,53.1667,63.5833,66.49,45,0,11.18
90,Nyurba,RU,2022-05-28 04:28:04,63.2842,118.3319,51.57,40,80,8.57
91,Provideniya,RU,2022-05-28 04:28:04,64.3833,-173.3,43.68,74,92,8.05
92,Bilibino,RU,2022-05-28 04:28:04,68.0546,166.4372,41.0,83,100,1.72
93,Husavik,IS,2022-05-28 04:28:05,66.0449,-17.3389,39.74,85,3,7.7
94,Vila Velha,BR,2022-05-28 04:23:24,-20.3297,-40.2925,67.95,94,75,2.3
95,Kargat,RU,2022-05-28 04:28:05,55.1956,80.2811,68.92,49,95,8.19
96,Aswan,EG,2022-05-28 04:28:05,24.0934,32.907,80.92,23,0,7.74
97,Mount Gambier,AU,2022-05-28 04:28:06,-37.8333,140.7667,55.44,84,76,7.47
98,Cap-Aux-Meules,CA,2022-05-28 04:28:06,47.3821,-61.8597,44.62,93,100,19.57
99,Barrow,US,2022-05-28 04:28:06,71.2906,-156.7887,33.82,93,100,4.61
100,Kem,RU,2022-05-28 04:28:07,64.9555,34.5793,47.19,84,66,8.79
101,Okhotsk,RU,2022-05-28 04:28:07,59.3833,143.3,43.43,75,56,9.51
102,Aberdeen,GB,2022-05-28 04:26:23,57.1437,-2.0981,47.66,89,20,11.5
103,Sur,OM,2022-05-28 04:28:07,22.5667,59.5289,91.96,43,0,5.06
104,Matara,LK,2022-05-28 04:28:08,5.9485,80.5353,81.75,82,83,12.59
105,Aklavik,CA,2022-05-28 04:28:08,68.2191,-135.0107,37.72,63,86,14.7
106,Shymkent,KZ,2022-05-28 04:28:08,42.3,69.6,63.19,55,0,6.71
107,Aksu,CN,2022-05-28 04:28:09,41.1231,80.2644,84.47,13,8,2.68
108,Hambantota,LK,2022-05-28 04:28:09,6.1241,81.1185,88.14,70,40,14.97
109,Katsuura,JP,2022-05-28 04:28:09,35.1333,140.3,70.81,69,22,8.48
110,Marzuq,YE,2022-05-28 04:28:10,14.4,46.4667,81.27,22,41,2.84
111,Thompson,CA,2022-05-28 04:26:32,55.7435,-97.8558,33.96,93,40,2.3
112,Geraldton,AU,2022-05-28 04:28:10,-28.7667,114.6,77.41,50,0,11.5
113,Saint George,US,2022-05-28 04:23:49,37.1041,-113.5841,88.39,13,0,16.11
114,Kavaratti,IN,2022-05-28 04:28:10,10.5669,72.642,82.76,72,53,5.03
115,Hasaki,JP,2022-05-28 04:23:31,35.7333,140.8333,86.29,64,6,9.62
116,Nakasongola,UG,2022-05-28 04:28:11,1.3089,32.4564,64.11,98,100,3.02
117,Methoni,GR,2022-05-28 04:28:11,36.8197,21.7049,74.21,47,10,0.83
118,Broken Hill,AU,2022-05-28 04:28:11,-31.95,141.4333,60.87,49,4,10.31
119,Mayo,US,2022-05-28 04:28:11,38.8876,-76.5119,66.97,95,20,0.0
120,Pangnirtung,CA,2022-05-28 04:28:12,66.1451,-65.7125,14.22,93,61,8.39
121,Lavrentiya,RU,2022-05-28 04:28:12,65.5833,-171.0,42.42,80,48,5.01
122,Ystad,SE,2022-05-28 04:28:12,55.4297,13.8204,47.14,80,98,21.61
123,Sawakin,SD,2022-05-28 04:28:13,19.1059,37.3321,83.43,50,0,2.08
124,Mishan,CN,2022-05-28 04:28:13,45.55,131.8833,71.73,42,86,7.87
125,Nabire,ID,2022-05-28 04:24:31,-3.3667,135.4833,86.83,63,15,5.77
126,Charters Towers,AU,2022-05-28 04:28:13,-20.1,146.2667,75.96,34,0,7.49
127,San Carlos De Bariloche,AR,2022-05-28 04:28:14,-41.1456,-71.3082,27.14,91,14,5.41
128,Brokopondo,SR,2022-05-28 04:28:14,4.75,-55.1667,75.61,89,55,7.52
129,Nouadhibou,MR,2022-05-28 04:28:14,20.931,-17.0347,64.38,94,40,10.36
130,Ilulissat,GL,2022-05-28 04:28:15,69.2167,-51.1,32.02,86,100,3.44
131,Vrangel,RU,2022-05-28 04:28:15,42.7297,133.0839,55.81,80,34,12.03
132,La Ronge,CA,2022-05-28 04:28:15,55.1001,-105.2842,55.65,58,75,10.36
133,Vila Franca Do Campo,PT,2022-05-28 04:28:16,37.7167,-25.4333,68.2,92,100,5.99
134,Avera,US,2022-05-28 04:28:16,33.194,-82.5271,69.85,65,86,7.4
135,Upernavik,GL,2022-05-28 04:28:16,72.7868,-56.1549,28.53,93,100,13.96
136,Sabang,ID,2022-05-28 04:28:16,5.8933,95.3214,83.44,75,96,23.76
137,Usakos,NA,2022-05-28 04:28:17,-22.0,15.6,61.2,33,0,5.41
138,Hay River,CA,2022-05-28 04:29:17,60.8156,-115.7999,55.38,58,40,2.3
139,Kodiak,US,2022-05-28 04:29:17,57.79,-152.4072,65.71,45,0,5.75
140,Bogorodskoye,RU,2022-05-28 04:29:18,56.55,37.8833,47.14,85,9,4.5
141,Ivankiv,UA,2022-05-28 04:29:18,50.9386,29.8943,49.98,88,81,10.98
142,Mareeba,AU,2022-05-28 04:29:18,-17.0,145.4333,82.67,57,42,1.54
143,Tutoia,BR,2022-05-28 04:29:19,-2.7619,-42.2744,73.65,90,8,3.74
144,Rawson,AR,2022-05-28 04:29:19,-43.3002,-65.1023,40.14,62,0,9.06
145,Svetlogorsk,BY,2022-05-28 04:29:19,52.6333,29.7333,45.91,89,5,9.69
146,Marystown,CA,2022-05-28 04:29:19,47.1666,-55.1483,41.86,100,100,1.01
147,Kavieng,PG,2022-05-28 04:29:20,-2.5744,150.7967,83.44,59,100,3.29
148,Mendoza,AR,2022-05-28 04:29:20,-32.8908,-68.8272,45.93,66,75,3.44
149,Sorsk,RU,2022-05-28 04:29:20,54.0033,90.2467,60.46,39,19,5.93
150,Martapura,ID,2022-05-28 04:29:21,-3.4167,114.85,89.69,66,20,4.61
151,Saint Anthony,US,2022-05-28 04:29:21,45.0205,-93.218,67.93,63,0,9.22
152,Plettenberg Bay,ZA,2022-05-28 04:29:21,-34.0527,23.3716,59.45,47,96,4.65
153,Port Elizabeth,ZA,2022-05-28 04:29:21,-33.918,25.5701,50.29,93,0,2.3
154,Buritizeiro,BR,2022-05-28 04:29:22,-17.3511,-44.9622,59.83,65,100,1.07
155,Douglas,US,2022-05-28 04:29:22,41.3,-96.167,69.98,67,0,16.11
156,Dikson,RU,2022-05-28 04:29:22,73.5069,80.5464,30.83,80,12,3.98
157,Coquimbo,CL,2022-05-28 04:29:23,-29.9533,-71.3436,51.53,100,100,4.61
158,Kalmunai,LK,2022-05-28 04:29:23,7.4167,81.8167,84.51,64,100,1.72
159,Tasiilaq,GL,2022-05-28 04:29:23,65.6145,-37.6368,41.16,81,100,9.13
160,Gazojak,TM,2022-05-28 04:29:24,41.1875,61.4036,70.81,32,0,5.23
161,Kruisfontein,ZA,2022-05-28 04:29:24,-34.0033,24.7314,55.08,61,86,6.49
162,Isangel,VU,2022-05-28 04:29:24,-19.55,169.2667,80.87,68,100,4.45
163,Inhambane,MZ,2022-05-28 04:29:24,-23.865,35.3833,60.78,94,20,3.44
164,Escanaba,US,2022-05-28 04:25:22,45.7453,-87.0646,48.94,97,0,1.01
165,Chernyshevskiy,RU,2022-05-28 04:29:25,63.0128,112.4714,49.96,32,49,7.09
166,Georgetown,MY,2022-05-28 04:26:31,5.4112,100.3354,91.33,64,20,6.91
167,Portgordon,GB,2022-05-28 04:29:25,57.6635,-3.016,48.13,86,40,9.22
168,Bajil,YE,2022-05-28 04:29:25,15.0584,43.2851,87.62,46,1,2.68
169,Codrington,AU,2022-05-28 04:29:26,-38.2667,141.9667,59.02,63,82,10.96
170,Bambous Virieux,MU,2022-05-28 04:29:26,-20.3428,57.7575,75.45,78,40,6.91
171,Changji,CN,2022-05-28 04:25:37,44.0167,87.3167,84.99,24,0,11.18
172,Lagoa,PT,2022-05-28 04:29:26,39.05,-27.9833,60.94,90,100,18.81
173,Dunedin,NZ,2022-05-28 04:29:27,-45.8742,170.5036,56.8,51,38,0.76
174,Tadine,NC,2022-05-28 04:29:27,-21.55,167.8833,74.48,80,100,6.87
175,Wukari,NG,2022-05-28 04:29:27,7.85,9.7833,72.75,91,49,5.12
176,Soyo,AO,2022-05-28 04:29:28,-6.1349,12.3689,72.19,87,1,5.64
177,Neka,IR,2022-05-28 04:29:28,36.6508,53.299,69.31,68,0,2.3
178,Costinesti,RO,2022-05-28 04:29:28,43.95,28.6333,60.06,80,2,7.99
179,Leshukonskoye,RU,2022-05-28 04:29:29,64.8989,45.7622,51.21,68,99,7.49
180,Grindavik,IS,2022-05-28 04:29:29,63.8424,-22.4338,46.87,93,75,13.8
181,Nikolskoye,RU,2022-05-28 04:29:29,59.7035,30.7861,51.87,94,100,1.9
182,Placido De Castro,BR,2022-05-28 04:29:30,-10.3353,-67.1856,72.37,92,47,1.41
183,Taua,BR,2022-05-28 04:29:30,-5.9667,-40.3,73.2,70,58,11.92
184,Agadez,NE,2022-05-28 04:29:30,19.75,10.25,85.64,12,0,7.38
185,Fairbanks,US,2022-05-28 04:28:56,64.8378,-147.7164,71.6,22,0,11.5
186,Pevek,RU,2022-05-28 04:30:31,69.7008,170.3133,30.49,79,50,11.12
187,Nandura,IN,2022-05-28 04:30:31,20.8333,76.45,93.51,36,4,16.11
188,Guanica,PR,2022-05-28 04:30:31,17.9716,-66.908,77.92,84,66,5.84
189,Cabo San Lucas,MX,2022-05-28 04:29:18,22.8909,-109.9124,81.7,72,3,10.76
190,Castro,BR,2022-05-28 04:27:35,-24.7911,-50.0119,56.95,80,24,3.0
191,Sao Filipe,CV,2022-05-28 04:30:31,14.8961,-24.4956,72.64,83,24,3.62
192,Egvekinot,RU,2022-05-28 04:30:32,66.3167,-179.1667,41.38,69,96,6.33
193,Namibe,AO,2022-05-28 04:30:32,-15.1961,12.1522,64.09,85,2,7.09
194,Haines Junction,CA,2022-05-28 04:30:32,60.7522,-137.5108,55.35,47,38,12.66
195,Filingue,NE,2022-05-28 04:30:33,14.3521,3.3168,88.32,43,22,14.88
196,Yar-Sale,RU,2022-05-28 04:30:33,66.8333,70.8333,59.68,38,54,15.68
197,El Jicaro,GT,2022-05-28 04:30:33,14.9167,-89.9,76.14,91,97,1.68
198,Salalah,OM,2022-05-28 04:27:27,17.0151,54.0924,86.09,74,75,2.3
199,Ardakan,IR,2022-05-28 04:30:34,32.31,54.0175,79.07,12,0,7.99
200,Carutapera,BR,2022-05-28 04:30:34,-1.195,-46.02,73.44,94,71,2.68
201,Odweyne,SO,2022-05-28 04:30:34,9.4092,45.064,76.82,56,94,15.21
202,Broome,US,2022-05-28 04:30:34,42.2506,-75.833,65.61,94,75,4.61
203,Lompoc,US,2022-05-28 04:28:38,34.6391,-120.4579,60.01,79,0,9.22
204,Ponta Do Sol,PT,2022-05-28 04:30:35,32.6667,-17.1,66.83,72,54,4.03
205,Shimoda,JP,2022-05-28 04:30:35,34.6667,138.95,77.36,54,46,23.55
206,Puerto Ayora,EC,2022-05-28 04:30:36,-0.7393,-90.3518,70.56,95,95,7.0
